Claim_ID,Policy_ID,Accident_Date,FNOL_Date,Claim_Type,Claim_Complexity,Fraud_Flag,Litigation_Flag,Estimated_Claim_Amount,Ultimate_Claim_Amount,Severity_Band,Settlement_Date,Status,Customer_ID,Age_of_Driver,Gender,Occupation,Region,Annual_Mileage,Driving_Experience_Years,Vehicle_Type,Vehicle_Age,Credit_Score_Band
CLM34687,POL14313,20/04/2020,24/04/2020,Collision,Low,FALSE,FALSE,2578,,Minor,,open,CUST24313,73,Male,Retired,Liverpool,16801,54,SUV,12,Excellent
CLM33200,POL11036,06/07/2019,10/07/2019,Collision,Low,FALSE,FALSE,2485,,Minor,,open,CUST21036,61,Male,Self-Employed,Edinburgh,11368,40,Sedan,14,Good
CLM31845,POL11081,01/08/2020,04/08/2020,Collision,Low,FALSE,FALSE,1698,,Minor,,open,CUST21081,22,Male,Employed,Edinburgh,8790,2,Motorcycle,1,Excellent
CLM34168,POL11449,25/03/2021,25/03/2021,Collision,Low,FALSE,FALSE,2052,,Minor,,open,CUST21449,29,Male,Employed,Newcastle,15811,8,Hatchback,15,Fair
CLM34019,POL12994,05/12/2019,06/12/2019,Collision,Low,FALSE,FALSE,2597,,Minor,,open,CUST22994,74,Female,Retired,Glasgow,19014,52,Hatchback,17,Excellent
CLM34831,POL13863,25/10/2023,25/10/2023,Collision,Low,FALSE,FALSE,1815,,Minor,,open,CUST23863,50,Female,Unemployed,Manchester,8795,30,Sedan,18,Fair
CLM31149,POL13449,09/01/2022,10/01/2022,Collision,Low,FALSE,FALSE,2444,,Minor,,open,CUST23449,62,Female,Employed,Manchester,18077,44,SUV,15,Fair
CLM31211,POL11942,16/11/2022,19/11/2022,Collision,Low,FALSE,FALSE,1936,,Minor,,open,CUST21942,50,Male,Self-Employed,Glasgow,12380,28,Sedan,13,Good
CLM32748,POL11212,23/12/2022,24/12/2022,Collision,Low,FALSE,FALSE,1752,,Minor,,open,CUST21212,65,Female,Retired,Glasgow,9302,45,Hatchback,4,Excellent
CLM31235,POL11680,23/10/2021,23/10/2021,Collision,Low,FALSE,FALSE,2207,,Minor,,open,CUST21680,19,Female,Student,London,12934,0,Motorcycle,17,Good
CLM31719,POL11236,13/08/2025,14/08/2025,Collision,Low,FALSE,FALSE,2164,,Minor,,open,CUST21236,18,Male,Student,Edinburgh,10648,0,Sedan,15,Fair
CLM33694,POL11239,03/08/2019,03/08/2019,Collision,Low,FALSE,FALSE,1171,,Minor,,open,CUST21239,71,Male,Retired,Manchester,16861,50,Hatchback,13,Good
CLM32731,POL13459,20/03/2024,20/03/2024,Collision,Low,FALSE,FALSE,1778,,Minor,,open,CUST23459,57,Female,Employed,Glasgow,8394,39,Sedan,13,Fair
CLM31713,POL11317,22/02/2019,22/02/2019,Collision,Low,FALSE,FALSE,2527,,Minor,,open,CUST21317,69,Male,Retired,Birmingham,14830,50,Sedan,16,Good
CLM34022,POL11321,27/06/2022,28/06/2022,Collision,Low,FALSE,FALSE,1909,,Minor,,open,CUST21321,48,Female,Employed,Bristol,11346,26,Hatchback,19,Fair
CLM32681,POL11323,22/01/2025,22/01/2025,Collision,Low,FALSE,FALSE,2206,,Minor,,open,CUST21323,45,Male,Employed,Bristol,16852,25,Van,2,Good
CLM34025,POL11366,27/10/2021,27/10/2021,Collision,Low,FALSE,FALSE,2227,,Minor,,open,CUST21366,43,Male,Employed,Birmingham,3136,23,SUV,6,Fair
CLM32200,POL14172,14/11/2020,14/11/2020,Collision,Low,FALSE,FALSE,2613,,Minor,,open,CUST24172,66,Female,Retired,London,7440,48,SUV,19,Fair
CLM32367,POL13734,15/01/2025,18/01/2025,Collision,Low,FALSE,FALSE,1836,,Minor,,open,CUST23734,32,Female,Employed,Newcastle,9472,11,Sedan,6,Good
CLM33857,POL13734,10/09/2019,12/09/2019,Collision,Low,FALSE,FALSE,1950,,Minor,,open,CUST23734,32,Female,Employed,Newcastle,9472,11,Sedan,6,Good
CLM34935,POL11701,25/11/2018,25/11/2018,Collision,Low,FALSE,FALSE,2214,,Minor,,open,CUST21701,38,Male,Employed,Edinburgh,12370,16,Sedan,8,Good
CLM34490,POL11742,05/12/2021,09/12/2021,Collision,Low,FALSE,FALSE,1704,,Minor,,open,CUST21742,61,Male,Employed,Glasgow,13496,39,SUV,6,Excellent
CLM32057,POL11792,05/03/2022,05/03/2022,Collision,Low,FALSE,FALSE,2970,,Minor,,open,CUST21792,47,Male,Self-Employed,London,14269,26,Sedan,10,Poor
CLM31801,POL11997,03/04/2022,05/04/2022,Collision,Low,FALSE,FALSE,1718,,Minor,,open,CUST21997,64,Male,Employed,Edinburgh,18233,44,SUV,14,Excellent
CLM31857,POL13774,16/10/2022,16/10/2022,Collision,Low,FALSE,FALSE,3192,,Minor,,open,CUST23774,27,Male,Unemployed,Leeds,10410,7,Sedan,17,Good
CLM33065,POL13466,08/03/2019,10/03/2019,Collision,Low,FALSE,FALSE,1730,,Minor,,open,CUST23466,48,Female,Unemployed,Edinburgh,16812,26,SUV,17,Fair
CLM33773,POL11996,05/10/2022,05/10/2022,Collision,Low,FALSE,FALSE,1773,,Minor,,open,CUST21996,20,Female,Student,Leeds,8780,0,Sedan,13,Poor
CLM32069,POL13586,14/04/2019,14/04/2019,Collision,Low,FALSE,FALSE,2109,,Minor,,open,CUST23586,22,Female,Employed,Cardiff,9542,3,SUV,20,Good
CLM34039,POL14652,11/01/2022,12/01/2022,Collision,Low,FALSE,FALSE,1673,,Minor,,open,CUST24652,74,Female,Retired,Bristol,14103,53,Van,12,Excellent
CLM32454,POL12176,22/11/2018,22/11/2018,Collision,Low,FALSE,FALSE,2053,,Minor,,open,CUST22176,34,Male,Employed,Leeds,5821,15,Sedan,6,Poor
CLM32346,POL13955,11/03/2021,12/03/2021,Collision,Low,FALSE,FALSE,1558,,Minor,,open,CUST23955,44,Female,Employed,London,10443,22,Van,11,Good
CLM32535,POL14249,01/07/2025,31/07/2025,Collision,Low,FALSE,FALSE,1554,,Minor,,open,CUST24249,42,Female,Self-Employed,Liverpool,10730,23,Sedan,3,Good
CLM34450,POL12843,18/03/2020,18/03/2020,Collision,Low,FALSE,FALSE,2614,,Minor,,open,CUST22843,77,Female,Retired,Cardiff,7057,55,Hatchback,5,Poor
CLM33425,POL13700,24/09/2018,25/09/2018,Collision,Low,FALSE,FALSE,1965,,Minor,,open,CUST23700,68,Male,Retired,Edinburgh,17763,49,SUV,3,Poor
CLM33914,POL14690,26/10/2019,31/10/2019,Collision,Low,FALSE,FALSE,2309,,Minor,,open,CUST24690,44,Female,Unemployed,Edinburgh,16404,22,Van,8,Good
CLM34853,POL14334,08/04/2023,10/04/2023,Collision,Low,FALSE,FALSE,2348,,Minor,,open,CUST24334,33,Male,Unemployed,Edinburgh,13133,15,Sedan,15,Fair
CLM34961,POL14337,15/03/2019,18/03/2019,Collision,Low,FALSE,FALSE,1967,,Minor,,open,CUST24337,73,Female,Retired,Cardiff,6101,54,Sedan,18,Good
CLM35114,POL13919,12/07/2022,14/07/2022,Collision,Low,FALSE,FALSE,1857,,Minor,,open,CUST23919,61,Female,Retired,Bristol,11347,43,Motorcycle,13,Good
CLM35126,POL10574,11/07/2022,11/07/2022,Collision,Low,FALSE,FALSE,1668,,Minor,,open,CUST20574,22,Male,Student,Manchester,8151,1,SUV,14,Good
CLM35286,POL13026,09/12/2018,10/12/2018,Collision,Low,FALSE,FALSE,2121,,Minor,,open,CUST23026,78,Female,Retired,Edinburgh,12099,57,Coupe,19,Excellent
CLM35337,POL10061,15/07/2021,16/07/2021,Collision,Low,FALSE,FALSE,1774,,Minor,,open,CUST20061,35,Male,Self-Employed,London,12050,13,SUV,2,Poor
CLM35338,POL10984,12/08/2019,12/08/2019,Collision,Low,FALSE,FALSE,2205,,Minor,,open,CUST20984,37,Male,Employed,Manchester,18937,19,SUV,12,Good
CLM35452,POL13409,26/03/2024,26/03/2024,Collision,Low,FALSE,FALSE,2242,,Minor,,open,CUST23409,68,Male,Retired,Bristol,5141,47,Sedan,15,Excellent
CLM35552,POL13469,16/02/2020,16/02/2020,Collision,Low,FALSE,FALSE,2044,,Minor,,open,CUST23469,42,Female,Self-Employed,Liverpool,11782,20,SUV,8,Good
CLM35565,POL12743,27/02/2019,28/02/2019,Collision,Low,FALSE,FALSE,1743,,Minor,,open,CUST22743,32,Male,Self-Employed,Liverpool,16816,12,Coupe,14,Excellent
CLM35568,POL12266,25/12/2024,28/12/2024,Collision,Low,FALSE,FALSE,1798,,Minor,,open,CUST22266,56,Female,Self-Employed,Glasgow,10081,37,Coupe,15,Fair
CLM35674,POL12029,16/05/2023,16/05/2023,Collision,Low,FALSE,FALSE,2342,,Minor,,open,CUST22029,53,Male,Employed,Newcastle,14427,32,Sedan,11,Good
CLM35754,POL14693,10/03/2024,12/03/2024,Collision,Low,FALSE,FALSE,2193,,Minor,,open,CUST24693,58,Female,Retired,Liverpool,15986,40,Hatchback,9,Fair
CLM35811,POL12698,24/03/2020,27/03/2020,Collision,Low,FALSE,FALSE,2213,,Minor,,open,CUST22698,18,Female,Student,Edinburgh,8774,0,Hatchback,11,Good
CLM35902,POL11567,22/04/2021,23/04/2021,Collision,Low,FALSE,FALSE,1864,,Minor,,open,CUST21567,40,Male,Unemployed,Manchester,10666,21,SUV,20,Poor
CLM36009,POL10675,07/05/2024,14/05/2024,Collision,Low,FALSE,FALSE,2639,,Minor,,open,CUST20675,76,Female,Retired,Glasgow,10697,54,Hatchback,11,Good
CLM36062,POL14299,03/07/2024,03/07/2024,Collision,Low,FALSE,FALSE,1568,,Minor,,open,CUST24299,55,Male,Employed,Cardiff,13595,37,Hatchback,2,Excellent
CLM36153,POL14525,12/06/2025,14/06/2025,Collision,Low,FALSE,FALSE,2117,,Minor,,open,CUST24525,47,Female,Employed,Liverpool,11208,26,SUV,10,Fair
CLM36240,POL14692,26/12/2018,26/12/2018,Collision,Low,FALSE,FALSE,1792,,Minor,,open,CUST24692,51,Female,Retired,Liverpool,8273,29,Hatchback,2,Poor
CLM36248,POL13234,17/06/2022,17/06/2022,Collision,Low,FALSE,FALSE,2065,,Minor,,open,CUST23234,61,Male,Retired,Glasgow,13330,39,Hatchback,15,Excellent
CLM36378,POL10597,22/05/2020,22/05/2020,Collision,Low,FALSE,FALSE,2217,,Minor,,open,CUST20597,38,Male,Employed,Edinburgh,9686,18,Van,17,Good
CLM36529,POL10027,08/01/2021,08/01/2021,Collision,Low,FALSE,FALSE,1986,,Minor,,open,CUST20027,21,Male,Student,Glasgow,7132,1,SUV,0,Good
CLM36566,POL14719,16/01/2024,16/01/2024,Collision,Low,FALSE,FALSE,1398,,Minor,,open,CUST24719,43,Female,Employed,Birmingham,18003,23,Sedan,12,Good
CLM36570,POL14374,11/01/2023,15/01/2023,Collision,Low,FALSE,FALSE,1315,,Minor,,open,CUST24374,59,Female,Retired,Newcastle,9920,40,Hatchback,16,Excellent
CLM36571,POL14769,03/10/2022,07/10/2022,Collision,Low,FALSE,FALSE,1494,,Minor,,open,CUST24769,32,Male,Employed,Manchester,20277,13,Van,1,Excellent
CLM36666,POL14251,06/12/2021,08/12/2021,Collision,Low,FALSE,FALSE,1995,,Minor,,open,CUST24251,60,Female,Retired,Bristol,11777,39,Coupe,9,Fair
CLM36835,POL14603,22/09/2018,23/09/2018,Collision,Low,FALSE,FALSE,1804,,Minor,,open,CUST24603,40,Female,Self-Employed,Birmingham,14659,18,Sedan,9,Excellent
CLM36873,POL13641,27/02/2019,28/02/2019,Collision,Low,FALSE,FALSE,2887,,Minor,,open,CUST23641,55,Male,Employed,London,10399,33,Van,7,Good
CLM36903,POL11975,13/03/2019,20/03/2019,Collision,Low,FALSE,FALSE,1375,,Minor,,open,CUST21975,24,Female,Self-Employed,Liverpool,13915,3,SUV,12,Excellent
CLM36993,POL11687,24/07/2025,30/07/2025,Collision,Low,FALSE,FALSE,2129,,Minor,,open,CUST21687,78,Female,Retired,Cardiff,10444,60,Coupe,14,Excellent
CLM37049,POL11435,12/05/2025,14/05/2025,Collision,Low,FALSE,FALSE,1755,,Minor,,open,CUST21435,35,Male,Employed,Edinburgh,11456,13,Van,14,Good
CLM37118,POL13751,30/06/2021,01/07/2021,Collision,Low,FALSE,FALSE,1872,,Minor,,open,CUST23751,72,Female,Employed,Newcastle,11080,52,Sedan,13,Fair
CLM37127,POL14867,27/05/2023,27/05/2023,Collision,Low,FALSE,FALSE,1941,,Minor,,open,CUST24867,45,Female,Employed,Manchester,18803,23,Coupe,16,Good
CLM37345,POL11122,22/11/2024,22/11/2024,Collision,Low,FALSE,FALSE,1525,,Minor,,open,CUST21122,70,Male,Unemployed,Edinburgh,11133,49,Coupe,14,Good
CLM37399,POL13673,21/06/2023,27/06/2023,Collision,Low,FALSE,FALSE,2351,,Minor,,open,CUST23673,40,Female,Employed,Leeds,8732,21,SUV,9,Good
CLM37624,POL11843,29/03/2022,30/03/2022,Collision,Low,FALSE,FALSE,1586,,Minor,,open,CUST21843,69,Female,Retired,Birmingham,10090,51,Van,1,Good
CLM37696,POL13584,11/07/2021,11/07/2021,Collision,Low,FALSE,FALSE,1778,,Minor,,open,CUST23584,40,Male,Employed,Manchester,20035,21,SUV,12,Good
CLM37739,POL11740,14/11/2023,17/11/2023,Collision,Low,FALSE,FALSE,1623,,Minor,,open,CUST21740,75,Female,Retired,Cardiff,8876,57,Van,1,Fair
CLM37827,POL12110,14/04/2024,15/04/2024,Collision,Low,FALSE,FALSE,1246,,Minor,,open,CUST22110,26,Female,Student,Cardiff,14662,8,SUV,11,Excellent
CLM37828,POL11588,09/05/2024,11/05/2024,Collision,Low,FALSE,FALSE,1371,,Minor,,open,CUST21588,56,Female,Employed,Newcastle,11353,38,Sedan,3,Fair
CLM37925,POL10700,30/03/2020,30/03/2020,Collision,Low,FALSE,FALSE,3274,,Minor,,open,CUST20700,74,Male,Retired,London,13244,56,Van,8,Fair
CLM30926,POL13214,08/07/2020,09/07/2020,Collision,Medium,FALSE,FALSE,1797,,Minor,,open,CUST23214,58,Male,Self-Employed,Liverpool,11354,37,Sedan,6,Good
CLM31214,POL14359,20/04/2025,21/04/2025,Collision,Medium,FALSE,FALSE,1640,,Minor,,open,CUST24359,28,Female,Employed,Leeds,6185,7,SUV,8,Good
CLM32577,POL13459,25/03/2019,25/03/2019,Collision,Medium,FALSE,FALSE,1984,,Minor,,open,CUST23459,57,Female,Employed,Glasgow,8394,39,Sedan,13,Fair
CLM31418,POL12976,17/06/2020,19/06/2020,Collision,High,FALSE,FALSE,2325,,Minor,,open,CUST22976,78,Male,Retired,Edinburgh,15169,56,Van,3,Excellent
CLM34468,POL13562,01/05/2022,01/05/2022,Collision,Medium,FALSE,FALSE,1524,,Minor,,open,CUST23562,72,Male,Retired,Edinburgh,4916,52,Sedan,15,Good
CLM32149,POL12778,02/03/2022,03/03/2022,Collision,High,FALSE,FALSE,2590,,Minor,,open,CUST22778,66,Female,Unemployed,London,10089,44,Coupe,13,Good
CLM32704,POL12880,26/01/2022,31/01/2022,Collision,Medium,FALSE,FALSE,2420,,Minor,,open,CUST22880,43,Male,Employed,Glasgow,7583,22,Hatchback,6,Excellent
CLM34681,POL13859,01/05/2020,04/05/2020,Collision,High,FALSE,FALSE,2203,,Minor,,open,CUST23859,23,Male,Unemployed,Cardiff,10641,3,Coupe,18,Good
CLM35116,POL13669,21/06/2024,21/06/2024,Collision,Medium,FALSE,FALSE,2530,,Minor,,open,CUST23669,60,Female,Self-Employed,Leeds,15455,39,Coupe,16,Good
CLM35225,POL14561,26/09/2021,01/10/2021,Collision,Medium,FALSE,FALSE,1678,,Minor,,open,CUST24561,18,Male,Student,Manchester,7840,0,Sedan,15,Fair
CLM36173,POL10531,13/09/2019,19/09/2019,Collision,Medium,FALSE,FALSE,2615,,Minor,,open,CUST20531,66,Female,Retired,Bristol,13804,45,Sedan,9,Good
CLM36530,POL11013,07/04/2022,07/04/2022,Collision,Medium,FALSE,FALSE,1359,,Minor,,open,CUST21013,71,Male,Self-Employed,Liverpool,13468,52,Sedan,9,Good
CLM36684,POL12078,30/05/2020,01/06/2020,Collision,Medium,FALSE,FALSE,1676,,Minor,,open,CUST22078,45,Male,Unemployed,Edinburgh,11613,26,Motorcycle,12,Fair
CLM33570,POL12185,13/12/2020,15/12/2020,Collision,Low,FALSE,FALSE,4133,,Moderate,,open,CUST22185,40,Male,Employed,Glasgow,9510,22,Hatchback,15,Excellent
CLM32959,POL11294,04/10/2023,04/10/2023,Collision,Low,FALSE,FALSE,10165,,Major,,open,CUST21294,74,Female,Retired,Manchester,11121,53,Hatchback,14,Fair
CLM33958,POL10076,22/01/2019,23/01/2019,Collision,Medium,FALSE,FALSE,27886,,Severe,,open,CUST20076,71,Female,Retired,Newcastle,8990,51,Hatchback,17,Good
CLM30086,POL14544,03/04/2022,05/04/2022,Collision,Medium,FALSE,FALSE,3671,,Moderate,,open,CUST24544,39,Female,Self-Employed,Bristol,16104,18,Sedan,14,Poor
CLM30094,POL10630,24/04/2024,29/04/2024,Collision,Low,FALSE,FALSE,3884,,Moderate,,open,CUST20630,62,Male,Employed,Edinburgh,9282,42,Hatchback,14,Good
CLM33886,POL10118,04/09/2021,07/09/2021,Collision,Medium,FALSE,FALSE,17780,,Major,,open,CUST20118,39,Female,Employed,Edinburgh,13137,21,Hatchback,16,Excellent
CLM30922,POL10140,18/04/2023,18/04/2023,Collision,Medium,FALSE,FALSE,3283,,Moderate,,open,CUST20140,71,Male,Retired,Edinburgh,11487,53,Sedan,2,Fair
CLM32436,POL10143,21/12/2018,21/12/2018,Collision,Low,FALSE,FALSE,5618,,Moderate,,open,CUST20143,78,Male,Retired,Glasgow,11987,56,Sedan,8,Good
CLM30201,POL12389,18/05/2019,18/05/2019,Collision,High,FALSE,FALSE,28727,,Severe,,open,CUST22389,22,Male,Student,Newcastle,12275,0,Van,9,Excellent
CLM30206,POL13982,06/07/2019,06/07/2019,Collision,Medium,FALSE,FALSE,4840,,Moderate,,open,CUST23982,61,Male,Employed,Leeds,15216,39,SUV,2,Fair
CLM30270,POL14093,04/03/2024,10/03/2024,Collision,Medium,FALSE,FALSE,5342,,Moderate,,open,CUST24093,67,Female,Retired,Liverpool,14667,47,Sedan,2,Good
CLM30511,POL12680,14/05/2020,15/05/2020,Collision,Low,FALSE,FALSE,7651,,Moderate,,open,CUST22680,79,Female,Self-Employed,Newcastle,12251,60,Coupe,18,Excellent
CLM30301,POL13027,28/02/2019,28/02/2019,Collision,Low,FALSE,FALSE,6551,,Moderate,,open,CUST23027,55,Male,Employed,Liverpool,16747,35,Van,19,Good
CLM33992,POL10301,23/10/2018,23/10/2018,Collision,High,FALSE,FALSE,41387,,Severe,,open,CUST20301,41,Male,Employed,Leeds,11278,23,Sedan,10,Excellent
CLM34243,POL10538,07/11/2019,09/11/2019,Collision,Low,FALSE,FALSE,4280,,Moderate,,open,CUST20538,35,Female,Employed,Liverpool,16746,14,Hatchback,12,Fair
CLM31910,POL11187,13/09/2019,15/09/2019,Collision,Medium,FALSE,FALSE,5899,,Moderate,,open,CUST21187,65,Male,Retired,Newcastle,11794,44,Motorcycle,7,Good
CLM31538,POL10411,07/05/2025,10/05/2025,Collision,Medium,FALSE,FALSE,11839,,Major,,open,CUST20411,20,Female,Student,Leeds,13810,0,Hatchback,18,Fair
CLM33217,POL13036,23/07/2025,23/07/2025,Collision,Low,FALSE,FALSE,4785,,Moderate,,open,CUST23036,67,Female,Retired,Liverpool,9544,48,Sedan,0,Good
CLM30488,POL13263,07/12/2021,07/12/2021,Collision,Medium,FALSE,FALSE,2681,,Moderate,,open,CUST23263,74,Male,Retired,Leeds,17584,54,Hatchback,9,Excellent
CLM31540,POL10524,30/08/2022,30/08/2022,Collision,Low,FALSE,FALSE,29868,,Severe,,open,CUST20524,69,Male,Retired,Leeds,13220,48,SUV,19,Good
CLM31547,POL10558,10/05/2019,14/05/2019,Collision,Low,FALSE,FALSE,4447,,Moderate,,open,CUST20558,47,Female,Unemployed,Birmingham,10682,26,Hatchback,10,Good
CLM31550,POL10834,30/07/2019,30/07/2019,Collision,Low,FALSE,FALSE,3887,,Moderate,,open,CUST20834,77,Female,Retired,Manchester,10697,55,Sedan,3,Excellent
CLM30603,POL14144,10/10/2021,12/10/2021,Collision,Low,FALSE,FALSE,4523,,Moderate,,open,CUST24144,23,Female,Employed,Newcastle,14601,5,Coupe,16,Good
CLM34802,POL10687,06/05/2024,08/05/2024,Collision,High,FALSE,FALSE,11929,,Major,,open,CUST20687,32,Male,Employed,Birmingham,13680,10,Sedan,3,Excellent
CLM30689,POL11940,22/05/2024,24/05/2024,Collision,Low,FALSE,FALSE,8876,,Major,,open,CUST21940,41,Female,Employed,Bristol,15492,23,Hatchback,20,Excellent
CLM31305,POL10760,15/08/2019,17/08/2019,Collision,Medium,FALSE,FALSE,14707,,Major,,open,CUST20760,24,Male,Employed,Leeds,15857,4,Hatchback,16,Fair
CLM30779,POL11318,06/08/2024,07/08/2024,Collision,High,FALSE,FALSE,139387,,Catastrophic,,open,CUST21318,47,Male,Employed,Cardiff,12952,25,Coupe,1,Excellent
CLM32484,POL10839,24/07/2024,24/07/2024,Collision,Low,FALSE,FALSE,5215,,Moderate,,open,CUST20839,39,Female,Employed,Glasgow,20217,19,Sedan,4,Good
CLM34343,POL13909,17/12/2022,20/12/2022,Collision,High,FALSE,FALSE,15826,,Major,,open,CUST23909,47,Female,Employed,Glasgow,15570,29,Hatchback,13,Good
CLM34107,POL10882,12/09/2020,14/09/2020,Collision,Low,FALSE,FALSE,5717,,Moderate,,open,CUST20882,53,Female,Self-Employed,Glasgow,7784,33,Sedan,9,Excellent
CLM32211,POL13668,05/02/2024,08/02/2024,Collision,Medium,FALSE,FALSE,49573,,Severe,,open,CUST23668,70,Female,Retired,Bristol,10346,51,SUV,17,Good
CLM31029,POL14166,17/02/2019,17/02/2019,Collision,Medium,FALSE,FALSE,45352,,Severe,,open,CUST24166,19,Male,Student,Glasgow,10382,1,Sedan,4,Excellent
CLM32340,POL13347,08/05/2024,08/05/2024,Collision,Low,FALSE,FALSE,5793,,Moderate,,open,CUST23347,33,Female,Self-Employed,Bristol,22533,12,Hatchback,11,Poor
CLM31106,POL11069,21/04/2025,21/04/2025,Collision,Medium,FALSE,FALSE,4794,,Moderate,,open,CUST21069,30,Male,Self-Employed,Bristol,13453,10,Hatchback,17,Excellent
CLM31083,POL14987,15/08/2020,17/08/2020,Collision,Low,FALSE,FALSE,5318,,Moderate,,open,CUST24987,30,Female,Employed,Bristol,16909,10,Coupe,8,Good
CLM31097,POL14885,30/07/2021,30/07/2021,Collision,Low,FALSE,FALSE,6529,,Moderate,,open,CUST24885,71,Female,Retired,Newcastle,12525,51,Hatchback,20,Poor
CLM31206,POL11888,07/05/2021,07/05/2021,Collision,Low,FALSE,FALSE,4887,,Moderate,,open,CUST21888,42,Male,Employed,Leeds,14365,22,Hatchback,16,Fair
CLM31243,POL12124,14/04/2019,15/04/2019,Collision,Low,FALSE,FALSE,5802,,Moderate,,open,CUST22124,54,Female,Retired,London,10999,34,SUV,6,Good
CLM33193,POL13948,27/10/2018,27/10/2018,Collision,Medium,FALSE,FALSE,5113,,Moderate,,open,CUST23948,21,Male,Student,Leeds,11311,0,SUV,12,Excellent
CLM34192,POL13533,07/02/2020,07/02/2020,Collision,High,FALSE,FALSE,36673,,Severe,,open,CUST23533,42,Female,Employed,London,11156,22,Motorcycle,6,Poor
CLM32518,POL13845,18/12/2024,18/12/2024,Collision,Low,FALSE,FALSE,5908,,Moderate,,open,CUST23845,34,Female,Unemployed,Edinburgh,6917,13,Hatchback,19,Fair
CLM31579,POL13594,04/08/2024,07/08/2024,Collision,Medium,FALSE,FALSE,6711,,Moderate,,open,CUST23594,52,Male,Self-Employed,Glasgow,12832,34,Hatchback,0,Fair
CLM33772,POL11694,30/04/2019,03/05/2019,Collision,Medium,FALSE,FALSE,29344,,Severe,,open,CUST21694,41,Female,Unemployed,Edinburgh,13055,19,Coupe,12,Excellent
CLM32127,POL14065,24/05/2022,24/05/2022,Collision,Low,FALSE,FALSE,5078,,Moderate,,open,CUST24065,35,Male,Self-Employed,Cardiff,17016,16,Hatchback,13,Fair
CLM34499,POL12601,16/10/2023,16/10/2023,Collision,High,FALSE,FALSE,4740,,Moderate,,open,CUST22601,36,Male,Employed,Glasgow,14812,15,Sedan,14,Fair
